Treatments,Inhibition_mg_protein,Block
CT,4620,1
CT,4550,2
CT,1860,3
CT,3830,4
CT,2090,5
CT,2610,6
CT,2490,7
CT,3050,8
WT,3390,1
WT,26800,2
WT,3970,3
WT,3230,4
WT,3580,5
WT,2600,6
WT,3050,7
WT,2390,8
GT,5380,2
GT,6710,3
GT,3580,4
GT,17200,5
GT,5860,6
GT,12700,7
HT,46800,1
HT,4680,2
HT,3190,3
HT,16200,4
HT,5430,5
HT,4380,6
HT,3310,7
HT,11000,8
PT,4480,1
PT,8770,2
PT,3970,3
PT,4490,4
PT,5190,5
PT,5120,6
PT,4120,7
PT,3420,8
